"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Hbb-y",0,NA,NA,NA,NA,NA
"Hbb-bh1",0,NA,NA,NA,NA,NA
"Hbb-bh2",0,NA,NA,NA,NA,NA
"Hbb-bh3",0,NA,NA,NA,NA,NA
"Gm15115",0,NA,NA,NA,NA,NA
"Hbb-bs",0,NA,NA,NA,NA,NA
"Hbb-bt",0,NA,NA,NA,NA,NA
"Olfr67",0,NA,NA,NA,NA,NA
"Olfr68",0,NA,NA,NA,NA,NA
"Olfr69",0,NA,NA,NA,NA,NA
"Olfr630",0,NA,NA,NA,NA,NA
"Olfr629",0,NA,NA,NA,NA,NA
"Olfr628",0,NA,NA,NA,NA,NA
"Olfr243",0,NA,NA,NA,NA,NA
"Olfr260-ps1",0,NA,NA,NA,NA,NA
"Olfr626-ps1",0,NA,NA,NA,NA,NA
"Olfr625-ps1",0,NA,NA,NA,NA,NA
"Olfr624",0,NA,NA,NA,NA,NA
"Olfr623",0,NA,NA,NA,NA,NA
"Olfr622",0,NA,NA,NA,NA,NA
"Olfr621-ps1",0.389632389514899,2.46538052604615,4.44856526552904,0.554196775564886,0.57944418481,NA
"Olfr620",0,NA,NA,NA,NA,NA
"Olfr619",0,NA,NA,NA,NA,NA
"Olfr618",0,NA,NA,NA,NA,NA
"Olfr617",0,NA,NA,NA,NA,NA
"Olfr616",0,NA,NA,NA,NA,NA
"Olfr615",0,NA,NA,NA,NA,NA
"Olfr613",0.393779045326212,0.296992494461964,4.53207645824001,0.0655312189012137,0.947751050659475,NA
"Olfr612",0,NA,NA,NA,NA,NA
"Olfr611",0,NA,NA,NA,NA,NA
"Olfr610",0,NA,NA,NA,NA,NA
"Olfr609",0,NA,NA,NA,NA,NA
"Olfr608",0,NA,NA,NA,NA,NA
"Olfr607",6.41538717373667,-0.124612701247717,2.10404266946187,-0.059225367934001,0.952772604413602,0.99908871025226
"Olfr606",0,NA,NA,NA,NA,NA
"Olfr605",0,NA,NA,NA,NA,NA
"Usp17lc",0,NA,NA,NA,NA,NA
"Olfr603",0,NA,NA,NA,NA,NA
"Olfr602-ps1",0,NA,NA,NA,NA,NA
"Olfr601",0,NA,NA,NA,NA,NA
"Olfr600",0,NA,NA,NA,NA,NA
"Olfr599",0,NA,NA,NA,NA,NA
"Olfr598",0,NA,NA,NA,NA,NA
"Olfr597",0,NA,NA,NA,NA,NA
"Olfr596",0,NA,NA,NA,NA,NA
"Usp17ld",0,NA,NA,NA,NA,NA
"Olfr595-ps1",0,NA,NA,NA,NA,NA
"Olfr594",0,NA,NA,NA,NA,NA
"Olfr593",0,NA,NA,NA,NA,NA
"Olfr592",3.98567050827532,0.407816595891026,2.30853852931416,0.17665574592432,0.859778803700718,0.99908871025226
"Olfr591",0,NA,NA,NA,NA,NA
"Olfr590-ps1",0,NA,NA,NA,NA,NA
"Olfr589",0,NA,NA,NA,NA,NA
"Gm15116",1.54482099202924,-1.59752509501243,3.0238949781877,-0.528300455715517,0.597290815376607,0.99908871025226
"Olfr588-ps1",0,NA,NA,NA,NA,NA
"Olfr587-ps1",0,NA,NA,NA,NA,NA
"Olfr586",0,NA,NA,NA,NA,NA
"Olfr585",0,NA,NA,NA,NA,NA
"Olfr584",0,NA,NA,NA,NA,NA
"Olfr583",0,NA,NA,NA,NA,NA
"Olfr582",0,NA,NA,NA,NA,NA
"Olfr581-ps1",0,NA,NA,NA,NA,NA
"Olfr580-ps1",0,NA,NA,NA,NA,NA
"Olfr579-ps1",0,NA,NA,NA,NA,NA
"Olfr1527-ps1",0,NA,NA,NA,NA,NA
"Olfr578",0,NA,NA,NA,NA,NA
"Olfr577",0,NA,NA,NA,NA,NA
"Olfr576",0,NA,NA,NA,NA,NA
"Olfr575",0,NA,NA,NA,NA,NA
"Olfr574",0,NA,NA,NA,NA,NA
"Olfr573-ps1",0,NA,NA,NA,NA,NA
"Olfr572",0,NA,NA,NA,NA,NA
"Olfr571",0,NA,NA,NA,NA,NA
"LOC115486496",0,NA,NA,NA,NA,NA
"Olfr570",0,NA,NA,NA,NA,NA
"Olfr569",0,NA,NA,NA,NA,NA
"Olfr568",0,NA,NA,NA,NA,NA
"Olfr567-ps1",0,NA,NA,NA,NA,NA
"Olfr566",0,NA,NA,NA,NA,NA
"Olfr565-ps1",0,NA,NA,NA,NA,NA
"Olfr564",0,NA,NA,NA,NA,NA
"Olfr563-ps1",0,NA,NA,NA,NA,NA
"Olfr562-ps1",0,NA,NA,NA,NA,NA
"Olfr561",0,NA,NA,NA,NA,NA
"Olfr560",0,NA,NA,NA,NA,NA
"Olfr78",0,NA,NA,NA,NA,NA
"Gm24210",0,NA,NA,NA,NA,NA
"Olfr559",0,NA,NA,NA,NA,NA
"Olfr33",0,NA,NA,NA,NA,NA
"Olfr558",0,NA,NA,NA,NA,NA
"Olfr557",0,NA,NA,NA,NA,NA
"Trim68",0,NA,NA,NA,NA,NA
"Olfr556",0,NA,NA,NA,NA,NA
"Olfr555",0,NA,NA,NA,NA,NA
"Gm2996",0,NA,NA,NA,NA,NA
"Olfr554",0,NA,NA,NA,NA,NA
"Olfr553",0,NA,NA,NA,NA,NA
"Olfr552",0,NA,NA,NA,NA,NA
"Olfr551",0,NA,NA,NA,NA,NA
"Olfr550",0,NA,NA,NA,NA,NA
"Gm5339",0,NA,NA,NA,NA,NA
"Trim21",0,NA,NA,NA,NA,NA
"Olfr549",0,NA,NA,NA,NA,NA
"Olfr548-ps1",0,NA,NA,NA,NA,NA
"Olfr547",0,NA,NA,NA,NA,NA
"Olfr546-ps1",0.263901582154579,-1.0050126202798,4.56209215174643,-0.220296431297441,0.825640299311718,NA
"Gm8556",0,NA,NA,NA,NA,NA
"Gm38627",0,NA,NA,NA,NA,NA
"Olfr545",0.129877463171633,1.25876351597793,4.53207705473908,0.277745391522343,0.781207813525574,NA
"Olfr544",0,NA,NA,NA,NA,NA
